eco_friendly,food_quality,food_variaty,service,icecream_machine,anecdote,eating_anytime,politics,capitalism,price,activism,marketing/promotion,contest,comparisson,health,cleanliness,happy_meal,weight_loss,holiday,inquiry,patriotism,religion,work,social_media,sports,hobbies/activities,atmosphere/environment,announcement
,drink,,give,,moment,,,,,,,,,,,,,,,,,,,,,,
,delighted,,park,,niece,,,,,,,,,,,,,,,,,,,,,,
,serving,,anymore,,nephew,,,,,,,,,,,,,,,,,,,,,,
,worst,,terrible,,today,,,,,,,,,,,,,,,,,,,,,,
,best,,mad,,tonight,,,,,,,,,,,,,,,,,,,,,,
,coffe,,sad,,kids,,,,,,,,,,,,,,,,,,,,,,
,bitter,,screw,,at,,,,,,,,,,,,,,,,,,,,,,
,undercooked,,rude,,girlfriend,,,,,,,,,,,,,,,,,,,,,,
,salty,,reply,,boyfriend,,,,,,,,,,,,,,,,,,,,,,
,disgusting,,crew,,midnight,,,,,,,,,,,,,,,,,,,,,,
,appealing,,behaviour,,time,,,,,,,,,,,,,,,,,,,,,,
,throw,,disgusting,,drive-thru,,,,,,,,,,,,,,,,,,,,,,
,pity,,kick,,mother,,,,,,,,,,,,,,,,,,,,,,
,finger,,team,,father,,,,,,,,,,,,,,,,,,,,,,
,nugget,,girls,,mom,,,,,,,,,,,,,,,,,,,,,,
,favorite,,ashamed,,dad,,,,,,,,,,,,,,,,,,,,,,
,fave,,poor,,child,,,,,,,,,,,,,,,,,,,,,,
,ice,,half,,go,,,,,,,,,,,,,,,,,,,,,,
,cream,,employee,,come,,,,,,,,,,,,,,,,,,,,,,
,crispy,,fuck,,mommy,,,,,,,,,,,,,,,,,,,,,,
,fatty,,suck,,daddy,,,,,,,,,,,,,,,,,,,,,,
,roll,,treat,,after,,,,,,,,,,,,,,,,,,,,,,
,oreo,,serve,,before,,,,,,,,,,,,,,,,,,,,,,
,soda,,care,,until,,,,,,,,,,,,,,,,,,,,,,
,pop,,worst,,,,,,,,,,,,,,,,,,,,,,,,
,,,appologie,,,,,,,,,,,,,,,,,,,,,,,,
,,,mistake,,,,,,,,,,,,,,,,,,,,,,,,
